answer,qid
<<<<<<< HEAD
 today was the start of the g20 summit,blogs-01-1
whatever you think the answer is,blogs-01-2
 there was a protest that happened along the street where i work and at first it looked peaceful until a bunch of people started rebelling and creating a riot,blogs-01-3
 since there are so many leaders coming together their are going to be a lot of people who have different views on how to run the government they follow so they protest,blogs-01-4
 there was a protest that happened along the street where i work and at first it looked peaceful until a bunch of people started rebelling and creating a riot,blogs-01-5
whatever you think the answer is,blogs-01-6
 it happens every year and it is where 20 of the leaders of the world come together to talk about how to run their governments effectively and what not,blogs-01-7
whatever you think the answer is,blogs-01-8
 police cars were burned and things were thrown at cops,blogs-01-9
 it happens every year and it is where 20 of the leaders of the world come together to talk about how to run their governments effectively and what not,blogs-01-10
 as things got worse tear gas and bean bag bullets were fired at the rioters while they smash windows of stores,blogs-01-11
 as things got worse tear gas and bean bag bullets were fired at the rioters while they smash windows of stores,blogs-01-12
 as things got worse tear gas and bean bag bullets were fired at the rioters while they smash windows of stores,blogs-01-13
whatever you think the answer is,fables-02-1
"""
the bull was foolish enough to be persuaded by this flattery to have his horns cut off; and, having now lost his only means of defense, fell an easy prey to the lion",fables-02-2
"a lion watched a fat bull feeding in a meadow, and his mouth watered when he thought of the royal feast he would make, but he did not dare to attack him, for he was afraid of his sharp horns",fables-02-3
whatever you think the answer is,fables-02-4
"a lion watched a fat bull feeding in a meadow, and his mouth watered when he thought of the royal feast he would make, but he did not dare to attack him, for he was afraid of his sharp horns",fables-02-5
"a lion watched a fat bull feeding in a meadow, and his mouth watered when he thought of the royal feast he would make, but he did not dare to attack him, for he was afraid of his sharp horns",fables-02-6
whatever you think the answer is,fables-02-7
"""
the bull was foolish enough to be persuaded by this flattery to have his horns cut off; and, having now lost his only means of defense, fell an easy prey to the lion",fables-02-8
"a lion watched a fat bull feeding in a meadow, and his mouth watered when he thought of the royal feast he would make, but he did not dare to attack him, for he was afraid of his sharp horns",fables-02-9
"a lion watched a fat bull feeding in a meadow, and his mouth watered when he thought of the royal feast he would make, but he did not dare to attack him, for he was afraid of his sharp horns",fables-02-10
"a lion watched a fat bull feeding in a meadow, and his mouth watered when he thought of the royal feast he would make, but he did not dare to attack him, for he was afraid of his sharp horns",fables-02-11
whatever you think the answer is,fables-01-1
a crow was sitting on a branch of a tree with a piece of cheese in her beak when a fox observed her and set his wits to work to discover some way of getting the cheese,fables-01-2
whatever you think the answer is,fables-01-3
a crow was sitting on a branch of a tree with a piece of cheese in her beak when a fox observed her and set his wits to work to discover some way of getting the cheese,fables-01-4
whatever you think the answer is,fables-01-5
a crow was sitting on a branch of a tree with a piece of cheese in her beak when a fox observed her and set his wits to work to discover some way of getting the cheese,fables-01-6
whatever you think the answer is,fables-01-7
 she went to miami to visit some friends,mc500.train.0.1
" after going swimming and laying out, she went to her friend ellen's house",mc500.train.0.2
whatever you think the answer is,mc500.train.0.3
alyssa got to the beach after a long trip,mc500.train.0.4
alyssa got to the beach after a long trip,mc500.train.0.5
 they stayed the night because they were tired,mc500.train.0.6
 the girls traded stories and caught up on their lives,mc500.train.0.7
alyssa got to the beach after a long trip,mc500.train.0.8
 the girls went to a restaurant for dinner,mc500.train.0.9
 alyssa called her friends kristin and rachel to meet at ellen's house,mc500.train.0.10
whatever you think the answer is,mc500.train.0.11
whatever you think the answer is,mc500.train.0.12
=======
who have different views on how to run the government they follow so they protest,blogs-01-5
